Pulsar_name,Period
PSR J0600-46,798.8
PSR J0941-43,447.7
PSR J1023-43,454.3
PSR J1242-46,1411.3
PSR J1243-47,5.31
RRAT J1406-50,-
PSR J1428-42,234.7
PSR J1845-40,324.18
PSR J1845-40,373.48
RRAT J1850-48,-
RRAT J2004-38,-
PSR J1517-31,140
PSR J1517-31,1108
PSR J1936-30,1.6758
