Pulsar_name,Period
PSR J0418-4154,757.11
PSR J0514-4407,320.7
PSR J0702-4956,666.66
PSR J0919-42,812.6
PSR J1239-48,653.89
PSR J1255-46,52
PSR J1456-48,536.81
PSR J1516-43,36.02
PSR J1559-44,1169.89
PSR J1708-52,449.62
PSR J1726-52,631.84
PSR J1947-43,180.94
PSR J2144-5237,5.04
